datum,lehrkraft_id,gruppe_id,teilnehmer_id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,thema,interventions,delta_norm,delta_dichte,cosine_shift,dominanzwechsel,polaritaetswechsel,dominante_dimension_vorher,dominante_dimension_nachher,bemerkung,delta_kognition,delta_sozial,delta_affektiv,delta_motivation,delta_methodik,delta_performanz,delta_regulation
2025-10-23,1,0,2,743,1130,Geometrie: SdP,metakognition,0.16314895555462222,-1.0131440622799004,0.01330886272878129,0,0,kognition,kognition,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",-0.033699544488919986,0.05992810641140701,0.095891344767994,-0.08512185808237,-0.0322689139224,0.040907694325349964,0.05229666792626003
2025-10-23,1,0,2,743,1131,Geometrie: SdP,metakognition,0.4091165104529759,0.18061132737420005,0.08368865883266008,1,0,kognition,regulation,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",-0.17998197699621005,0.18706551482593003,-0.245432828809234,0.17881713857273002,0.033563203436749955,-0.07851962720479999,0.02201447838824
2025-10-23,1,0,2,743,1133,Geometrie: SdP,metakognition,0.29285898685490613,0.2258321458478001,0.042883434381120744,0,0,regulation,regulation,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",0.07933577046836998,-0.19066985116976004,0.156272980256184,-0.027804184595830006,-0.09605880273747996,0.08045464050334,0.04714519869196998
2025-10-23,1,0,4,724,1078,Trigonometrie: Sin/cos,aktivierungsfragen,0.18121816378902297,-2.23720602689646,0.01642025221960619,0,0,kognition,kognition,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Ausdauer hat sich verbessert | formuliert Fragen verständlich | kann nur bedingt nach einem festgelegten Zeitplan lernen | kann nur bedingt mit Druck umgehen, wenn Aufgaben schwieriger werden",0.017246925657059986,0.010576349253450995,-0.06657618222808301,-0.017805722503360044,-0.04525110005502003,-0.07641100897702996,0.14069460236946996
2025-10-23,1,0,4,724,1079,Trigonometrie: Sin/cos,aktivierungsfragen,0.31412077992485976,1.34627066897776,0.0493367193758123,1,0,kognition,regulation,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Ausdauer hat sich verbessert | formuliert Fragen verständlich | kann nur bedingt nach einem festgelegten Zeitplan lernen | kann nur bedingt mit Druck umgehen, wenn Aufgaben schwieriger werden",-0.14477839582503,0.176963596870792,0.186258601797563,0.06028330106846003,0.042573985730830044,-0.07790520751769997,0.013669568932720033
2025-10-27,1,0,4,722,1067,Trigonometrie: sin/cos,aktivierungsfragen,0.3157582463635591,0.7997940178029999,0.04985202477866324,1,0,regulation,performanz,"beherrscht die spezifischen Fachbegriffe hinreichend | Vorbereitung auf anstehende Tests hat sich etwas verbessert | kann effektiv von einer Aufgabe zur anderen wechseln | findet nur sporadisch Lösungen für unerwartete Fragen oder Aufgabenstellungen | gibt nur manchmal zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | nM Verh trig Fkt",0.040248637818510014,-0.17827454103715,-0.228423078950343,-0.023522747750099993,0.044022650470119995,0.10421917218772997,-0.027775043718390013
2025-10-27,1,0,4,722,1069,Trigonometrie: sin/cos,aktivierungsfragen,0.24950360820531944,-0.010546790685799667,0.031126231790813974,0,0,performanz,performanz,"beherrscht die spezifischen Fachbegriffe hinreichend | Vorbereitung auf anstehende Tests hat sich etwas verbessert | kann effektiv von einer Aufgabe zur anderen wechseln | findet nur sporadisch Lösungen für unerwartete Fragen oder Aufgabenstellungen | gibt nur manchmal zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | nM Verh trig Fkt",0.05195959635986003,-0.024988948163273,0.152681227147553,-0.04184082489097002,-0.04272044753005,0.10005444286145998,-0.14842393135530002
2025-10-27,1,0,4,722,1070,Trigonometrie: sin/cos,aktivierungsfragen,0.27890348202936693,1.1738281043493997,0.038893798396621326,1,0,performanz,regulation,"beherrscht die spezifischen Fachbegriffe hinreichend | Vorbereitung auf anstehende Tests hat sich etwas verbessert | kann effektiv von einer Aufgabe zur anderen wechseln | findet nur sporadisch Lösungen für unerwartete Fragen oder Aufgabenstellungen | gibt nur manchmal zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | nM Verh trig Fkt",-0.07305786047095003,0.14012899895636302,-0.01398751185872002,0.08924612616403998,-0.011115774772959996,-0.13972175499432998,0.15813701076034004
2025-10-27,1,0,4,722,1071,Trigonometrie: sin/cos,aktivierungsfragen,0.3050765979119447,-1.1585977482932996,0.04653613044140226,0,0,regulation,regulation,"beherrscht die spezifischen Fachbegriffe hinreichend | Vorbereitung auf anstehende Tests hat sich etwas verbessert | kann effektiv von einer Aufgabe zur anderen wechseln | findet nur sporadisch Lösungen für unerwartete Fragen oder Aufgabenstellungen | gibt nur manchmal zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | nM Verh trig Fkt",-0.08321868656322001,0.18973219466705,-0.197603205172731,0.034918702813390046,0.04656246389350999,-0.08740941456330997,-0.008559428030090022
2025-11-27,1,0,4,1118,1736,Weitere Themen: eypW,"strukturierung, metakognition",0.45999031367642146,-0.7959442049806,0.10579636900659839,1,0,regulation,kognition,"kann nur weniger effektiv Lösungsstrategien für komplexe Probleme entwickeln | Nachhilfe hat in letzter Zeit vereinzelt zur Organisationsfähigkeit beigetragen | kann den eigenen Lösungsweg nur selten nachvollziehbar mündlich präsentieren | kann sein Vorwissen nur sporadisch reaktivieren, um neue Informationen besser zu verstehen | kann nur bedingt mit Stress umgehen, wenn Aufgaben schwieriger werden",0.24205662862293997,-0.309994709059505,0.13122631109820102,-0.11454778307080005,-0.004369375865430014,0.10863029431665999,-0.12141575660220999
2025-11-27,1,0,4,1118,1737,Weitere Themen: eypW,"strukturierung, metakognition",0.2968961484976791,0.9891503189859998,0.04407399629432207,0,0,kognition,kognition,"kann nur weniger effektiv Lösungsstrategien für komplexe Probleme entwickeln | Nachhilfe hat in letzter Zeit vereinzelt zur Organisationsfähigkeit beigetragen | kann den eigenen Lösungsweg nur selten nachvollziehbar mündlich präsentieren | kann sein Vorwissen nur sporadisch reaktivieren, um neue Informationen besser zu verstehen | kann nur bedingt mit Stress umgehen, wenn Aufgaben schwieriger werden",0.07205472124721002,0.02245909995881,0.17241594763509002,-0.18418761028575997,0.02920298644755004,-0.010795665380530006,-0.13352652686876
2025-11-27,1,0,4,1118,1738,Weitere Themen: eypW,"strukturierung, metakognition",0.35217659752642433,0.41614116971549997,0.062014541355435604,0,0,kognition,kognition,"kann nur weniger effektiv Lösungsstrategien für komplexe Probleme entwickeln | Nachhilfe hat in letzter Zeit vereinzelt zur Organisationsfähigkeit beigetragen | kann den eigenen Lösungsweg nur selten nachvollziehbar mündlich präsentieren | kann sein Vorwissen nur sporadisch reaktivieren, um neue Informationen besser zu verstehen | kann nur bedingt mit Stress umgehen, wenn Aufgaben schwieriger werden",-0.13475795981068994,0.08928365429801499,-0.17955771119041203,0.19259930096470002,0.017744807874949975,-0.017723838660370028,0.16713049435915
